,Symbol,Name,Price,Change,Change %,Volume,Avg volume,Market cap,Ration
27,MSFT,Microsoft Corporation,284.47,+6.95,+2.50%,34.091M,33.016M,2.128T,30.30
28,SWN,Southwestern Energy Company,7.36,-0.14,-1.87%,28.081M,33.46M,8.215B,N/A
29,TELL,Tellurian Inc.,4.8600,-0.1200,-2.41%,27.472M,23.078M,2.762B,N/A
30,TPH,"Tri Pointe Homes, Inc.",20.70,+0.03,+0.15%,12.857M,1.435M,2.141B,5.02
31,AUY,Yamana Gold Inc.,5.30,-0.21,-3.81%,26.073M,20.755M,5.118B,35.33
32,PFE,Pfizer Inc.,48.34,-0.73,-1.49%,29.234M,29.597M,273.013B,12.54
33,WBD,"Warner Bros. Discovery, Inc.",19.25,+1.10,+6.06%,26.103M,15.525M,46.717B,13.97
34,GOLD,Barrick Gold Corporation,22.16,-0.15,-0.67%,26.417M,23.381M,39.542B,19.49
35,BABA,Alibaba Group Holding Limited,101.21,+4.12,+4.24%,24.926M,33.907M,291.614B,28.05
36,WFC,Wells Fargo & Company,43.67,+0.04,+0.09%,24.781M,29.681M,165.504B,8.82
37,SIRI,Sirius XM Holdings Inc.,6.03,+0.03,+0.50%,24.733M,20.317M,23.753B,18.90
38,KO,The Coca-Cola Company,63.44,-1.17,-1.81%,23.948M,18.357M,275.014B,28.20
39,TSLA,"Tesla, Inc.",902.94,+32.18,+3.70%,24.694M,25.004M,935.455B,184.24
40,DKNG,DraftKings Inc.,14.99,+1.31,+9.58%,23.74M,25.359M,6.126B,N/A
41,ET,Energy Transfer LP,11.28,+0.20,+1.81%,23.619M,22.513M,34.774B,5.97
42,C,Citigroup Inc.,48.71,+0.50,+1.04%,25.496M,27.295M,94.59B,4.80
43,SNAP,Snap Inc.,29.52,+1.06,+3.72%,23.143M,38.275M,48.304B,N/A
44,TDOC,"Teladoc Health, Inc.",37.14,+3.38,+10.01%,22.902M,6.301M,5.985B,N/A
45,AMC,"AMC Entertainment Holdings, Inc.",15.26,-0.04,-0.26%,23.655M,50.629M,7.833B,N/A
