,symbol,regularMarketPrice,Change,Change Percentage,previousClose
289,CDK,54.46,0.13,0.24,54.33
290,EURN,13.03,0.31,2.44,12.72
291,NXE,4.88,0.14,2.95,4.74
292,LW,67.99,2.21,3.36,65.78
293,BAK,18.09,0.13,0.72,17.96
294,CIXX,12.48,0.13,1.05,12.35
295,CCJ,25.24,0.56,2.27,24.68
296,AJRD,41.32,0.1,0.24,41.22
297,STZ,246.31,1.94,0.79,244.37
298,DPSTF,41.09,0.72,1.78,40.37
299,ZS,160.0,17.87,12.57,142.13
