,Symbol,Name,Price,Change,Change %,Volume,Avg volume,Market cap,Ration,date/time
69,YY,JOYY Inc.,34.70,-2.07,-5.63%,"678,696","994,739",2.46B,N/A,04/06/2022 02:25:57
70,COUP,Coupa Software Incorporated,70.76,-4.17,-5.57%,1.603M,2.663M,5.344B,N/A,04/06/2022 02:25:57
71,TNDM,"Tandem Diabetes Care, Inc.",63.48,-3.69,-5.49%,1.294M,"737,311",4.06B,713.26,04/06/2022 02:25:57
72,RIVN,"Rivian Automotive, Inc.",30.19,-1.75,-5.48%,13.756M,21.143M,26.67B,N/A,04/06/2022 02:25:57
73,FRSH,Freshworks Inc.,15.36,-0.89,-5.48%,2.094M,3.108M,4.365B,N/A,04/06/2022 02:25:57
74,HOOD,"Robinhood Markets, Inc.",9.17,-0.53,-5.46%,13.121M,20.544M,7.663B,N/A,04/06/2022 02:25:57
75,U,Unity Software Inc.,41.76,-2.39,-5.41%,6.643M,6.485M,12.362B,N/A,04/06/2022 02:25:57
76,TLRY,"Tilray Brands, Inc.",4.2000,-0.2400,-5.41%,17.549M,35.787M,2.09B,43.75,04/06/2022 02:25:57
77,BB,BlackBerry Limited,5.83,-0.33,-5.36%,9.796M,8.993M,3.365B,N/A,04/06/2022 02:25:57
78,ZG,"Zillow Group, Inc.",39.27,-2.20,-5.31%,"620,366",1.043M,9.686B,N/A,04/06/2022 02:25:57
79,BHC,Bausch Health Companies Inc.,9.12,-0.51,-5.30%,5.07M,6.523M,3.297B,N/A,04/06/2022 02:25:57
80,Z,"Zillow Group, Inc.",39.35,-2.20,-5.29%,2.557M,4.777M,9.687B,N/A,04/06/2022 02:25:57
81,LYFT,"Lyft, Inc.",17.40,-0.97,-5.28%,8.264M,10.786M,6.055B,N/A,04/06/2022 02:25:57
82,SRAD,Sportradar Group AG,10.38,-0.57,-5.21%,"172,414","384,076",3.082B,154.93,04/06/2022 02:25:57
83,SQSP,"Squarespace, Inc.",20.26,-1.11,-5.19%,"334,222","665,258",2.835B,N/A,04/06/2022 02:25:57
84,SE,Sea Limited,78.76,-4.28,-5.15%,4.655M,8.081M,44.085B,N/A,04/06/2022 02:25:57
85,TASK,"TaskUs, Inc.",24.87,-1.35,-5.15%,"375,998","553,134",2.431B,N/A,04/06/2022 02:25:57
86,PD,"PagerDuty, Inc.",26.02,-1.41,-5.14%,2.225M,1.443M,2.283B,N/A,04/06/2022 02:25:57
87,RKT,"Rocket Companies, Inc.",8.53,-0.46,-5.12%,4.78M,5M,16.952B,4.73,04/06/2022 02:25:57
88,HUBS,"HubSpot, Inc.",354.11,-19.06,-5.11%,"633,445","751,642",16.916B,N/A,04/06/2022 02:25:57
